"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006631","GO:0006631","fatty acid metabolic process","21/389","390/18842",0.0538461538461538,2.60814712280008,4.65939622169405,6.66042937986181e-05,0.00395589138925126,0.00395589138925126,"CRYL1/ECH1/HADHB/ACOT9/ACOX1/ACOX3/ECI1/ETFDH/ACACA/ACSL1/LYPLA2/ACSS2/FABP3/DECR2/HSD17B10/CROT/ACADM/HADH/PHYH/FASN/ACAA1",21
"GO:0170038","GO:0170038","proteinogenic amino acid biosynthetic process","7/389","50/18842",0.14,6.78118251928021,5.9430374323406,7.04006300382042e-05,0.00413955704624641,0.00413955704624641,"ADI1/SHMT2/PAH/ASS1/GLS2/MTAP/ALDH18A1",7
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","4/389","12/18842",0.333333333333333,16.1456726649529,7.61986564807275,7.76555051888106e-05,0.00447661147559026,0.00447661147559026,"HSP90B1/PDIA3/DNAJC3/P4HB",4
"GO:0045338","GO:0045338","farnesyl diphosphate metabolic process","4/389","12/18842",0.333333333333333,16.1456726649529,7.61986564807275,7.76555051888106e-05,0.00447661147559026,0.00447661147559026,"FDPS/MVK/PMVK/HMGCS1",4
"GO:0032204","GO:0032204","regulation of telomere maintenance","10/389","108/18842",0.0925925925925926,4.48490907359802,5.27328635657258,8.04213298006555e-05,0.0045910429051248,0.0045910429051248,"EXOSC10/CCT3/CCT5/DKC1/CCT7/CCT8/LMNA/CCT6A/GNL3/TCP1",10
"GO:0035459","GO:0035459","vesicle cargo loading","6/389","36/18842",0.166666666666667,8.07283633247643,6.16722690867834,8.59103688820663e-05,0.00484856667221331,0.00484856667221331,"SEC24D/AP3B1/SURF4/AP3M1/SEC13/RAB1A",6
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","12/389","154/18842",0.0779220779220779,3.77431309050846,5.01912143534433,8.70777281424887e-05,0.00484856667221331,0.00484856667221331,"DHTKD1/PGD/TKT/H6PD/IDH2/ALDOB/GAPDHS/VCP/LDHB/ENO3/MDH1/PFKL",12
"GO:0014902","GO:0014902","myotube differentiation","11/389","131/18842",0.083969465648855,4.06723051865225,5.11477872156738,8.74061338868386e-05,0.00484856667221331,0.00484856667221331,"RPL31/EHD1/RPL13/RPL24/RPL27A/RPL9/RPL28/NACA/RPL8/RPL23A/RPL36",11
"GO:0006979","GO:0006979","response to oxidative stress","21/389","400/18842",0.0525,2.54294344473008,4.52865544157883,9.52388950536098e-05,0.00523368881229183,0.00523368881229183,"EEF2/CAT/PARK7/PRDX4/PSMD6/PRDX1/PSMD14/ETFDH/PSMC1/PSMC4/PRDX5/GSS/CFL1/TAT/PSMD2/PSMC5/PDLIM1/PSMA5/MSRB2/PSMB4/SCARA3",21
"GO:0051223","GO:0051223","regulation of protein transport","21/389","401/18842",0.0523690773067332,2.53660193988038,4.51579911467311,9.86306015753142e-05,0.00536988830798933,0.00536988830798933,"VPS35/SEC24D/HSPA8/PARK7/ABAT/RAB8A/OSBP/IDH2/FLNA/GRIPAP1/ANXA13/ASPH/SEC13/MYH10/BCAP31/UFM1/RAN/HADH/RBP4/CHP1/PPID",21
"GO:0016126","GO:0016126","sterol biosynthetic process","8/389","71/18842",0.112676056338028,5.45769216843477,5.46372495196769,0.000105016502029519,0.00561360938121426,0.00561360938121426,"FDPS/MVK/LSS/CYB5R2/PMVK/HMGCS1/KPNB1/LBR",8
"GO:0032206","GO:0032206","positive regulation of telomere maintenance","8/389","71/18842",0.112676056338028,5.45769216843477,5.46372495196769,0.000105016502029519,0.00561360938121426,0.00561360938121426,"CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/GNL3/TCP1",8
"GO:0006446","GO:0006446","regulation of translational initiation","9/389","91/18842",0.0989010989010989,4.79047430718382,5.26253892361133,0.00010949845046438,0.00574183331307004,0.00574183331307004,"EIF2S3/DDX1/EIF3H/CSDE1/EIF4EBP3/EIF5B/EIF4H/DNAJC3/EIF4EBP2",9
"GO:0019627","GO:0019627","urea metabolic process","4/389","13/18842",0.307692307692308,14.9036978445719,7.28084279631528,0.000110344755846414,0.00574183331307004,0.00574183331307004,"FH/ARG1/ASS1/AGMAT",4
"GO:0071941","GO:0071941","nitrogen cycle metabolic process","4/389","13/18842",0.307692307692308,14.9036978445719,7.28084279631528,0.000110344755846414,0.00574183331307004,0.00574183331307004,"FH/ARG1/ASS1/AGMAT",4
"GO:0030834","GO:0030834","regulation of actin filament depolymerization","7/389","54/18842",0.12962962962963,6.27887270303723,5.64015550494791,0.000116294419963778,0.00599834376655274,0.00599834376655274,"WDR1/TMOD2/SPTBN1/LIMA1/CAPZA2/CFL1/ADD1",7
