"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046032","GO:0046032","ADP catabolic process","7/197","87/18842",0.0804597701149425,7.69554816500379,6.43414915806062,3.53924012390857e-05,0.00330329078231466,0.00330329078231466,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process","7/197","89/18842",0.0786516853932584,7.52261449837449,6.33994122886923,4.1006070299692e-05,0.00370947220557213,0.00370947220557213,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process","7/197","89/18842",0.0786516853932584,7.52261449837449,6.33994122886923,4.1006070299692e-05,0.00370947220557213,0.00370947220557213,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","13/197","327/18842",0.0397553516819572,3.80238749437278,5.25465368362244,4.21854683309005e-05,0.00375834172402568,0.00375834172402568,"HSD17B10/ABCB11/OSBP/PAH/PARK7/EHHADH/CYP46A1/SHMT2/ACOX1/ASS1/IDO1/ABAT/FASN",13
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process","7/197","90/18842",0.0777777777777778,7.439029892837,6.29392832463261,4.40753122487881e-05,0.00386810203019215,0.00386810203019215,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0016053","GO:0016053","organic acid biosynthetic process","13/197","331/18842",0.0392749244712991,3.75643719232598,5.20057126080312,4.77855864783401e-05,0.00413204777195058,0.00413204777195058,"HSD17B10/ABCB11/OSBP/PAH/PARK7/EHHADH/CYP46A1/SHMT2/ACOX1/ASS1/IDO1/ABAT/FASN",13
"GO:0046031","GO:0046031","ADP metabolic process","7/197","93/18842",0.0752688172043011,7.19906118661645,6.16002162461591,5.44329769225631e-05,0.0045723700614953,0.0045723700614953,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0072526","GO:0072526","pyridine-containing compound catabolic process","7/197","93/18842",0.0752688172043011,7.19906118661645,6.16002162461591,5.44329769225631e-05,0.0045723700614953,0.0045723700614953,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process","7/197","94/18842",0.074468085106383,7.12247542931202,6.1167030801479,5.82982231127521e-05,0.00482807819581665,0.00482807819581665,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","6/197","65/18842",0.0923076923076923,8.82873877391644,6.498891271607,5.98721792632618e-05,0.00488956130649971,0.00488956130649971,"RPL36A/RPL13/RPL28/RPL18A/RPL27/RPL13A",6
