"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PDIA3",-4.80557684178527,13.2951530537246,-4.77376818478827,2.75337422548793e-05,0.001924503250728,2.47558933667045
"OLA.2341",-3.3085940652713,10.5081536513753,-4.76964348518421,2.78863717845284e-05,0.001924503250728,2.46391553214226
"CARKD.1",-3.21459017302007,10.1017523989942,-4.76869519056345,2.79680723825055e-05,0.001924503250728,2.46123192257092
"SMC1A.1",-3.43482313072998,10.5885951778534,-4.76540325839705,2.82535296540971e-05,0.001924503250728,2.45191677010525
"EIF4EBP2",-3.78523781561771,9.96096074702194,-4.76213561227022,2.85397275659062e-05,0.001924503250728,2.44267156086818
"Nfu_g_1_017509",-4.66586413253249,11.2616791920649,-4.75528266934497,2.91492800073911e-05,0.00193939876315842,2.42328638246717
"FASN.1",-5.55235641895266,12.4216453934457,-4.74513222006638,3.00758435229745e-05,0.0019747165681532,2.3945834019786
"G4P62_013684",-3.20830237698201,10.0264353447112,-4.71915584277318,3.25816159201161e-05,0.00211145796677116,2.3211838492325
"FLNA.4",-4.81490048044665,11.407009005595,-4.71462768502532,3.30390429949459e-05,0.00211365159672795,2.30839724122536
"HNRNPK",-3.84231373031929,11.6320785518894,-4.70301647940665,3.42411634298396e-05,0.00216282791791012,2.27562095749471
"CALRL",-6.23991661965739,12.8422111823775,-4.69402213525452,3.52019427427742e-05,0.00219572117858054,2.25024301073162
"CCT6A",-3.32552389229497,11.0576515325167,-4.68102888082255,3.66370420011811e-05,0.00223885953704487,2.21359981012039
"G4P62_004033",-3.4538504724635,10.346384283406,-4.67966598659673,3.67908781638636e-05,0.00223885953704487,2.20975744950653
